,cmte_id,cmte_nm,name,other_id,sum
287,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S0MT00173,1950.0
288,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S2MT00096,1950.0
289,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H8IN07184,1875.0
290,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H0IN01150,1875.0
291,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ADVOCATES OF ARIZONA,S0AZ00350,1844.0
292,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,S8MN00578,1683.0
293,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S0FL00338,1500.0
294,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S0NH00326,1500.0
295,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00781971,1497.0
296,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,H8CA45130,1454.0
297,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S8GA00180,1427.0
298,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00765800,1421.0
299,C00663724,PLANNED PARENTHOOD VOTES OHIO,"RESONANCE CAMPAIGNS, LLC",H2OH13264,1363.0
300,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S2PA00638,1350.0
301,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),J'S QUALITY PRINTING,S6NV00200,1290.0
302,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S2NC00497,1290.0
303,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,C00685289,1288.0
304,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S0FL00338,1274.0
305,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S2WA00387,1265.0
306,C00489799,PLANNED PARENTHOOD VOTES,PIEHOLE.TV LLC,S2NC00505,1250.0
307,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,SPOTIFY,H8CA49058,1250.0
308,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00257642,1243.0
309,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S2AZ00372,1200.0
310,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00042366,1151.0
311,C00489799,PLANNED PARENTHOOD VOTES,"PREMIERE GLOBAL SERVICES, INC",S0ME00111,1150.0
312,C00489799,PLANNED PARENTHOOD VOTES,"PREMIERE GLOBAL SERVICES, INC",S6ME00159,1150.0
313,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,H2CA39136,1132.0
314,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,P80000722,1096.0
315,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00736876,1040.0
316,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC - FEDERAL,S6NV00200,1033.0
317,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,H8WA08189,1009.0
318,C00663724,PLANNED PARENTHOOD VOTES OHIO,"RESONANCE CAMPAIGNS, LLC",H2OH11169,1007.0
319,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00166710,1007.0
320,C00489799,PLANNED PARENTHOOD VOTES,"ELLIOT, KENDRA",S2NC00505,1000.0
321,C00489799,PLANNED PARENTHOOD VOTES,"ELLIOT, KENDRA",S2AZ00372,1000.0
322,C00489799,PLANNED PARENTHOOD VOTES,PIEHOLE.TV LLC,H2NH01270,1000.0
323,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MOORE FOR CONGRESS,C00397505,1000.0
324,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,S2WA00189,993.0
325,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S2NC00505,976.0
326,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,H2WA03217,932.0
327,C00663724,PLANNED PARENTHOOD VOTES OHIO,"RESONANCE CAMPAIGNS, LLC",H2OH01194,926.0
328,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2WA03217,914.0
329,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00784959,846.0
330,C00489799,PLANNED PARENTHOOD VOTES,M+R STRATEGIC SERVICES,S2AZ00372,810.0
331,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00669358,804.0
332,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00777904,796.0
333,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,H2AK01158,734.0
334,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,P80000722,726.0
335,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,S8MN00578,726.0
336,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00147512,702.0
337,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD SOUTHEAST ADVOCATES,S4GA11285,690.0
338,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S2WI00441,681.0
339,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,S2WA00387,672.0
340,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00815134,671.0
341,C00489799,PLANNED PARENTHOOD VOTES,"BERG, MIRIAM",S6NH00091,664.0
342,C00489799,PLANNED PARENTHOOD VOTES,"BERG, MIRIAM",S0NH00326,664.0
343,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,H2CA40092,661.0
344,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,"FACEBOOK, INC.",H8CA49058,625.0
345,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES,S2NV00324,588.0
346,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,H0NH02181,587.0
347,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,H8NH01210,587.0
348,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,H2NH01270,587.0
349,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,S6NH00091,587.0
350,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,S0NH00326,587.0
351,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD NEW HAMPSHIRE VOTES,H8NH02309,587.0
352,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00638767,576.0
353,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,H4ME02234,509.0
354,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00709006,504.0
355,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,H2MN01249,500.0
356,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ROBIN KELLY FOR CONGRESS,C00539866,500.0
357,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,"BENNETT, SAMUEL",H8CA49058,500.0
358,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,H2MN08152,500.0
359,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA,,490.0
360,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,S0GA00559,488.0
361,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,S8GA00180,488.0
362,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00675108,450.0
363,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),PLANNED PARENTHOOD ADVOCATES PASADENA AND SAN GABRIEL VALLEY PAC,S6NV00200,443.0
364,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00165688,430.0
365,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2KY03206,416.0
366,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2HI02128,416.0
367,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,S4HI00136,416.0
368,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,S0KY00420,416.0
369,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2HI02581,416.0
370,C00489799,PLANNED PARENTHOOD VOTES,M+R STRATEGIC SERVICES,S2WA00387,370.0
371,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00010603,361.0
372,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,S2CA00955,352.0
373,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S0NH00326,351.0
374,C90016510,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN POLITICAL FUND,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN,S2WI00441,343.0
375,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,H2WA08182,330.0
376,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,H0CA48198,319.0
377,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00000935,312.0
378,C00489799,PLANNED PARENTHOOD VOTES,"BERG, MIRIAM",S6NV00200,308.0
379,C00489799,PLANNED PARENTHOOD VOTES,"BERG, MIRIAM",S2NV00324,308.0
380,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S0AZ00350,300.0
381,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,P80001571,298.0
382,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00696526,293.0
383,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00575548,265.0
384,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00588772,265.0
385,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,S0MN00328,257.0
386,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00226928,254.0
387,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H2CA28113,252.0
388,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H8CA34068,252.0
389,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H6CA44103,252.0
390,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H6CA24113,252.0
391,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H4CA33119,252.0
392,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H4CA23011,252.0
393,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H2CA39078,252.0
394,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H2CA37304,252.0
395,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H0CA27085,252.0
396,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H8CA34266,252.0
397,C00489799,PLANNED PARENTHOOD VOTES,PIEHOLE.TV LLC,H8NH01210,250.0
398,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",PLANNED PARENTHOOD ALLIANCE ADVOCATES,H2WA03100,247.0
399,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00801274,245.0
400,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00658567,241.0
401,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00652628,211.0
402,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,H8MN01279,198.0
403,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00655613,190.0
404,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00161786,184.0
405,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,H2CA43245,179.0
406,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,H8MN01279,177.0
407,C00489799,PLANNED PARENTHOOD VOTES,UNO TRANSLATIONS AND COMMUNICATIONS LLC,S8GA00180,171.0
408,C00489799,PLANNED PARENTHOOD VOTES,UNO TRANSLATIONS AND COMMUNICATIONS LLC,S0GA00559,171.0
409,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,PLANNED PARENTHOOD MN ND SD ACTION FUND,H0MN01045,166.0
410,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,H8MN03143,165.0
411,C00489799,PLANNED PARENTHOOD VOTES,M+R STRATEGIC SERVICES,S2PA00638,163.0
412,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H0CA25154,153.0
413,C00489799,PLANNED PARENTHOOD VOTES,PRECISION STRATEGIES LLC,S6PA00274,150.0
414,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00664375,142.0
415,C00489799,PLANNED PARENTHOOD VOTES,M+R STRATEGIC SERVICES,S2GA00225,134.0
416,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FACEBOOK,H0MN04049,132.0
417,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00670034,117.0
418,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00308676,102.0
419,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,H2CA47188,96.0
420,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00575209,90.0
421,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00652719,90.0
422,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00646844,90.0
423,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00668228,90.0
424,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PLANNED PARENTHOOD ACTION FUND,C00499467,90.0
